site_ap_ip, ,address, ,运营商
171.105.255.149, ,广西南宁市, ,电信
182.245.68.52, ,云南省昆明市, ,电信
183.160.59.98, ,安徽省合肥市, ,电信
122.227.9.138, ,浙江省金华市, ,电信
39.189.33.166, ,浙江省宁波市, ,移动
125.93.80.220, ,广东省东莞市, ,电信
1.180.134.254, ,内蒙古省乌海市, ,电信
123.156.247.112, ,浙江省金华市, ,联通
122.226.153.174, ,浙江省台州市, ,电信
115.230.94.176, ,浙江省丽水市, ,电信
123.156.247.89, ,浙江省金华市, ,联通
121.227.180.11, ,江苏省苏州市, ,电信
221.224.127.158, ,江苏省苏州市, ,电信
121.224.54.202, ,江苏省苏州市, ,电信
110.185.169.52, ,四川省成都市, ,电信
60.161.243.66, ,云南省丽江市, ,电信
36.7.146.48, ,安徽省合肥市, ,电信
36.5.9.78, ,安徽省合肥市, ,电信
113.245.85.183, ,湖南省株洲市, ,电信
36.7.149.184, ,安徽省合肥市, ,电信
122.226.58.173, ,浙江省金华市, ,电信
220.185.129.174, ,浙江省台州市, ,黄岩区电信
222.215.29.80, ,四川省巴中市, ,电信
106.47.157.161, ,天津市, ,电信
113.80.85.11, ,广东省东莞市, ,电信
220.173.181.43, ,广西百色市, ,电信
202.105.199.107, ,广东省东莞市, ,电信
120.14.194.199, ,河北省邢台市, ,联通
222.66.6.54, ,上海市, ,电信
14.222.40.182, ,广东省东莞市, ,电信
111.75.188.184, ,江西省抚州市, ,电信
106.46.65.251, ,河南省焦作市, ,电信
112.23.48.185, ,江苏省淮安市, ,移动
61.129.40.98, ,上海市, ,电信
14.220.237.206, ,广东省东莞市, ,电信
60.160.225.2, ,云南省文山州广南县, ,益智电脑室(莲城镇南街府门口)
220.179.83.97, ,安徽省阜阳市, ,电信
221.6.123.228, ,江苏省无锡市, ,联通
119.131.90.29, ,广东省广州市, ,电信
60.175.244.164, ,安徽省宿州市, ,电信
36.7.139.16, ,安徽省合肥市包河区, ,电信
61.189.238.170, ,贵州省毕节市, ,电信
36.22.61.112, ,浙江省宁波市北仑区, ,电信
14.156.229.59, ,广东省东莞市, ,电信
222.222.140.131, ,河北省保定市定州市, ,电信
123.145.28.105, ,重庆市, ,联通
61.140.94.16, ,广东省广州市, ,电信
120.34.21.124, ,福建省漳州市, ,电信
180.106.92.151, ,江苏省苏州市, ,电信
122.247.54.101, ,浙江省宁波市, ,电信
122.226.49.58, ,浙江省金华市, ,电信
122.242.115.82, ,浙江省金华市, ,电信
36.154.113.228, ,江苏省, ,移动
112.18.110.134, ,四川省, ,移动
183.157.96.45, ,浙江省杭州市, ,电信
223.221.13.146, ,青海省海东市, ,电信
60.218.125.202, ,黑龙江省大庆市, ,联通
58.40.81.106, ,上海市南汇区, ,电信
61.177.25.54, ,江苏省苏州市, ,电信
120.238.239.85, ,广东省, ,移动
113.102.251.43, ,广东省东莞市, ,电信
49.82.6.100, ,江苏省淮安市, ,电信
180.106.46.24, ,江苏省苏州市, ,电信
36.22.59.172, ,浙江省宁波市北仑区, ,电信
223.198.83.199, ,海南省海口市, ,电信
117.81.249.167, ,江苏省苏州市, ,电信
112.64.162.234, ,上海市徐汇区, ,联通漕河泾数据中心
220.170.146.22, ,湖南省益阳市, ,电信
1.81.141.181, ,陕西省汉中市, ,电信
114.216.76.134, ,江苏省苏州市, ,电信
218.57.223.105, ,山东省东营市, ,联通
121.27.241.56, ,河北省邢台市, ,联通
222.186.92.113, ,江苏省镇江市, ,电信
49.67.21.100, ,江苏省南通市, ,电信
113.109.132.72, ,广东省广州市, ,电信
14.18.152.146, ,广东省广州市, ,电信IDC机房
219.132.232.142, ,广东省东莞市, ,电信
27.186.7.80, ,河北省保定市, ,电信
119.131.183.127, ,广东省广州市, ,电信
113.77.229.71, ,广东省东莞市, ,电信
223.11.32.110, ,山西省太原市, ,电信
59.42.200.0, ,广东省广州市, ,电信
112.93.157.252, ,广东省东莞市, ,联通
112.31.84.2, ,安徽省, ,移动
218.19.245.155, ,广东省广州市番禺区, ,电信
61.145.202.210, ,广东省东莞市, ,电信
60.178.49.140, ,浙江省宁波市, ,电信
223.74.164.104, ,广东省东莞市, ,移动
122.226.185.105, ,浙江省台州市, ,电信
121.238.228.2, ,江苏省苏州市, ,电信
119.130.142.94, ,广东省广州市, ,电信
58.210.69.130, ,江苏省苏州市, ,电信
115.49.32.200, ,河南省南阳市, ,联通
61.130.151.10, ,浙江省金华市, ,电信
223.144.215.195, ,湖南省岳阳市, ,电信
139.202.34.221, ,四川省眉山市, ,电信
61.153.201.186, ,浙江省台州市, ,电信
27.189.0.92, ,河北省廊坊市, ,电信
14.220.244.166, ,广东省东莞市, ,电信
112.25.189.47, ,江苏省南京市, ,移动
120.229.135.220, ,广东省东莞市, ,移动
112.20.107.119, ,江苏省苏州市, ,移动
125.111.82.129, ,浙江省宁波市, ,电信
14.220.239.99, ,广东省东莞市, ,电信
60.195.154.118, ,北京市, ,鹏博士BGP
222.91.74.206, ,陕西省西安市, ,红树林网吧连锁紫蔷薇店
183.211.76.76, ,江苏省苏州市, ,移动
119.60.255.66, ,宁夏中卫市, ,电信
36.32.46.113, ,安徽省合肥市, ,联通
119.129.96.107, ,广东省广州市, ,电信
125.64.217.216, ,四川省宜宾市, ,电信
218.77.18.11, ,湖南省怀化市, ,电信
60.191.225.206, ,浙江省金华市东阳市, ,电信
60.175.55.74, ,安徽省安庆市, ,电信
183.63.214.28, ,广东省东莞市, ,电信
112.30.186.168, ,安徽省合肥市, ,移动
220.180.148.225, ,安徽省阜阳市, ,电信
123.135.194.102, ,山东省泰安市, ,联通
1.80.137.242, ,陕西省西安市, ,电信
171.113.236.255, ,湖北省, ,电信
124.152.53.163, ,甘肃省, ,联通
58.61.147.106, ,广东省深圳市, ,电信
117.24.206.49, ,福建省泉州市, ,电信
58.242.239.89, ,安徽省芜湖市, ,联通
58.18.140.152, ,内蒙古赤峰市红山区, ,二合一俱乐部(钢铁街西段路北昭乌达剧场二人转演艺广场西侧)
125.111.81.183, ,浙江省宁波市, ,电信
114.216.210.245, ,江苏省苏州市, ,电信
110.184.63.167, ,四川省成都市, ,电信
115.236.167.82, ,浙江省杭州市, ,电信数据中心
121.236.178.199, ,江苏省苏州市, ,电信
113.71.221.155, ,广东省佛山市, ,电信
113.118.12.250, ,广东省深圳市, ,电信
14.222.40.39, ,广东省东莞市, ,电信
60.171.204.149, ,安徽省宿州市, ,电信
113.26.110.234, ,山西省吕梁市, ,电信
61.153.57.70, ,浙江省衢州市, ,电信
58.214.253.230, ,江苏省无锡市, ,电信
42.243.34.146, ,云南省昆明市, ,电信
219.133.168.157, ,广东省深圳市南山区, ,电信
122.226.129.98, ,浙江省台州市临海市, ,咖啡网吧(大洋街道林桥村)
183.63.119.228, ,广东省广州市, ,电信
49.69.73.243, ,江苏省盐城市, ,电信
218.23.89.136, ,安徽省六安市舒城县, ,电信
122.226.61.254, ,浙江省金华市永康市, ,哈尼网咖(龙山镇)
115.52.146.121, ,河南省南阳市, ,联通
218.4.41.178, ,江苏省苏州市太仓市, ,电信
114.220.28.155, ,江苏省苏州市, ,电信
61.153.158.142, ,浙江省金华市东阳市, ,CZ88.NET
61.130.11.242, ,浙江省杭州市, ,电信
61.140.115.123, ,广东省广州市天河区, ,电信
111.164.60.160, ,天津市, ,联通
124.112.112.120, ,安徽省阜阳市, ,电信
112.31.208.54, ,安徽省合肥市, ,移动
218.28.78.161, ,河南省南阳市西峡县, ,飞宇网吧
113.77.209.62, ,广东省东莞市, ,电信
117.82.151.141, ,江苏省苏州市, ,电信
60.172.43.195, ,安徽省阜阳市, ,电信
122.238.184.123, ,浙江省嘉兴市, ,电信
113.102.248.3, ,广东省东莞市, ,电信
58.62.185.50, ,广东省广州市, ,电信
110.229.41.141, ,河北省保定市, ,联通
183.132.121.93, ,浙江省宁波市, ,电信
220.180.152.147, ,安徽省阜阳市, ,电信
115.224.75.122, ,浙江省绍兴市, ,电信
220.177.77.227, ,江西省南昌市, ,电信
171.34.214.7, ,江西省南昌市, ,联通
122.226.42.214, ,浙江省金华市, ,电信
182.242.74.232, ,云南省昆明市, ,电信
125.116.135.121, ,浙江省宁波市, ,电信
113.102.146.127, ,广东省深圳市, ,电信
1.198.44.57, ,河南省郑州市, ,电信
110.81.225.152, ,福建省泉州市, ,电信
180.125.210.83, ,江苏省苏州市, ,电信
119.128.120.208, ,广东省东莞市, ,电信
171.208.38.218, ,四川省巴中市, ,电信
113.77.169.90, ,广东省东莞市, ,电信
117.159.146.208, ,河南省省平顶山市, ,移动
14.220.239.200, ,广东省东莞市, ,电信
61.140.114.124, ,广东省广州市天河区, ,电信
61.164.67.218, ,浙江省宁波市, ,电信
14.220.234.246, ,广东省东莞市, ,电信
183.160.17.204, ,安徽省合肥市, ,电信
124.228.32.71, ,湖南省衡阳市常宁市, ,欣雨网吧(宜阳镇劳动路宏源小区门面)
119.130.207.77, ,广东省广州市, ,电信
183.133.39.3, ,浙江省, ,电信中心网络
58.253.111.193, ,广东省东莞市, ,联通
117.84.254.222, ,江苏省无锡市, ,电信
121.12.158.136, ,广东省东莞市, ,电信
36.5.147.3, ,安徽省合肥市, ,电信
58.216.181.170, ,江苏省常州市, ,电信
117.82.143.98, ,江苏省苏州市, ,电信
60.220.52.146, ,山西省长治市, ,联通
42.227.198.98, ,河南省信阳市, ,联通
182.142.99.70, ,四川省广安市, ,电信
111.225.248.147, ,河北省保定市, ,电信
220.162.29.181, ,福建省泉州市南安市, ,CZ88.NET
113.105.185.42, ,广东省东莞市, ,电信
112.14.54.35, ,浙江省宁波市, ,移动
113.103.5.11, ,广东省广州市, ,电信
42.230.163.191, ,河南省安阳市, ,联通
120.193.78.11, ,安徽省, ,移动
124.226.192.94, ,广西柳州市, ,电信
59.57.58.134, ,福建省泉州市安溪县, ,电信
118.122.7.121, ,四川省凉山州, ,电信
183.236.1.87, ,广东省广州市, ,移动
118.213.86.147, ,青海省西宁市, ,电信
223.85.13.139, ,四川省广元市, ,移动
112.112.134.3, ,云南省昆明市, ,电信
112.22.59.104, ,江苏省扬州市, ,移动
61.153.58.214, ,浙江省衢州市, ,电信
59.61.212.42, ,福建省泉州市, ,电信
218.21.33.110, ,宁夏吴忠市青铜峡市, ,电信
60.223.128.254, ,山西省晋中市, ,联通
61.140.211.177, ,广东省广州市荔湾区, ,/越秀区电信
119.123.76.81, ,广东省深圳市, ,电信
60.12.166.9, ,浙江省金华市, ,联通
116.27.9.36, ,广东省茂名市, ,电信
112.30.186.173, ,安徽省合肥市, ,移动
61.153.255.146, ,浙江省金华市浦江县, ,蓝天网吧
220.189.219.234, ,浙江省宁波市, ,电信
113.102.251.160, ,广东省东莞市, ,电信
218.1.101.138, ,上海市闵行区, ,电信
112.115.78.161, ,云南省昆明市, ,电信
115.239.200.82, ,浙江省绍兴市, ,电信
113.68.236.149, ,广东省广州市, ,电信
171.95.57.128, ,四川省广安市, ,电信
14.23.33.188, ,广东省广州市, ,电信
183.66.156.182, ,重庆市, ,电信
122.140.92.98, ,吉林省白山市, ,联通
222.242.188.3, ,湖南省郴州市, ,电信
58.211.66.18, ,江苏省苏州市, ,电信
43.254.220.182, ,日本, ,CZ88.NET
113.77.150.7, ,广东省东莞市, ,电信
121.13.216.138, ,广东省东莞市, ,电信
119.33.194.209, ,广东省广州市, ,珠江宽频
115.215.236.63, ,浙江省宁波市, ,电信
113.83.104.113, ,广东省惠州市, ,电信
58.217.7.130, ,江苏省镇江市, ,电信
171.91.81.194, ,四川省绵阳市, ,电信
39.188.46.42, ,浙江省宁波市, ,移动
112.27.254.236, ,安徽省, ,移动
112.28.72.216, ,安徽省, ,移动
110.180.52.129, ,山西省阳泉市, ,电信
221.233.196.182, ,湖北省孝感市安陆市, ,飞宇网吧
42.243.116.73, ,云南省昆明市, ,电信
220.180.228.8, ,安徽省合肥市巢湖市, ,电信
113.118.241.222, ,广东省深圳市, ,电信
223.242.181.141, ,安徽省安庆市, ,电信
14.120.49.202, ,广东省东莞市, ,电信
36.7.111.233, ,安徽省合肥市, ,电信
223.73.33.19, ,广东省东莞市, ,移动
115.215.231.252, ,浙江省宁波市, ,电信
171.208.24.94, ,四川省巴中市, ,电信
113.87.251.8, ,广东省深圳市, ,电信
219.156.138.149, ,河南省南阳市, ,联通
101.85.105.120, ,上海市, ,电信
218.75.0.189, ,浙江省台州市, ,电信
122.224.143.234, ,浙江省杭州市, ,电信
220.180.156.104, ,安徽省阜阳市, ,电信
114.89.221.56, ,上海市, ,电信
113.78.165.198, ,广东省东莞市, ,电信
42.239.5.152, ,河南省商丘市, ,联通
112.30.186.187, ,安徽省合肥市, ,移动
60.191.161.211, ,浙江省台州市路桥区, ,新桥镇建春网吧
114.234.4.143, ,江苏省徐州市, ,电信
101.85.66.78, ,上海市, ,电信
218.75.95.42, ,浙江省金华市江南区, ,蜘蛛不累网吧(秋滨街道)
116.24.74.58, ,广东省深圳市福田区, ,电信
61.178.57.88, ,甘肃省兰州市七里河区, ,天堂鸟网吧(敦煌路18号)
60.223.114.172, ,山西省晋中市, ,联通
110.17.189.230, ,内蒙古包头市, ,联通
36.44.138.97, ,陕西省西安市, ,电信
114.102.168.164, ,安徽省宿州市泗县, ,电信
222.184.61.190, ,江苏省淮安市, ,淮安信息职业技术学院宿舍宽带
202.103.187.82, ,广东省东莞市, ,电信
14.220.243.171, ,广东省东莞市, ,电信
119.60.50.112, ,宁夏银川市, ,电信
120.15.18.7, ,河北省衡水市, ,联通
222.92.157.82, ,江苏省苏州市, ,电信
14.217.203.225, ,广东省东莞市, ,电信
116.224.114.177, ,上海市松江区, ,电信
36.22.51.222, ,浙江省宁波市, ,电信
183.249.122.101, ,浙江省宁波市, ,移动
112.26.136.66, ,安徽省, ,移动
118.125.146.185, ,四川省广元市, ,电信
117.62.85.2, ,江苏省苏州市吴江市, ,电信
223.89.178.243, ,河南省洛阳市, ,移动
111.21.55.30, ,陕西省西安市, ,移动
218.75.249.31, ,湖南省湘潭市, ,电信
220.187.225.48, ,浙江省绍兴市, ,浙江工业职业技术学院学生公寓
171.12.5.100, ,河南省郑州市, ,电信
116.53.202.32, ,云南省昆明市呈贡县, ,电信
183.36.82.3, ,广东省广州市, ,电信
125.120.42.61, ,浙江省杭州市, ,电信
117.148.238.145, ,浙江省衢州市, ,移动
114.216.15.150, ,江苏省苏州市, ,电信
120.209.116.31, ,安徽省, ,移动
223.73.204.184, ,广东省广州市, ,移动
61.178.48.254, ,甘肃省兰州市, ,酒店公用IP段
36.7.121.158, ,安徽省合肥市, ,电信
112.31.254.3, ,安徽省合肥市, ,移动
14.222.40.81, ,广东省东莞市, ,电信
223.149.58.145, ,湖南省, ,电信
223.74.109.95, ,广东省东莞市, ,移动
180.108.181.111, ,江苏省苏州市吴中区, ,电信
118.113.52.21, ,四川省成都市, ,电信
180.175.81.99, ,上海市, ,电信
59.37.205.166, ,广东省东莞市, ,电信
222.184.9.178, ,江苏省淮安市楚州区, ,电信
120.229.151.56, ,广东省东莞市, ,移动
122.224.156.198, ,浙江省杭州市, ,电信
61.136.70.233, ,河南省洛阳市偃师市, ,联通
113.100.254.58, ,广东省汕头市, ,电信
113.109.55.47, ,广东省广州市, ,电信
183.245.42.70, ,浙江省温州市, ,移动
58.216.193.250, ,江苏省常州市, ,电信
117.148.238.34, ,浙江省衢州市, ,移动
125.40.0.166, ,河南省郑州市, ,联通
111.19.97.101, ,陕西省西安市周至县, ,移动
112.30.49.72, ,安徽省合肥市, ,移动
116.4.27.150, ,广东省东莞市, ,电信
1.82.227.110, ,陕西省西安市, ,电信
36.34.10.66, ,安徽省合肥市, ,联通
14.120.33.231, ,广东省东莞市, ,电信
218.28.102.62, ,河南省驻马店市, ,联通
110.81.124.104, ,福建省泉州市安溪县, ,电信
123.245.30.32, ,辽宁省沈阳市于洪区, ,电信
115.52.146.68, ,河南省南阳市, ,联通
14.120.50.169, ,广东省东莞市, ,电信
36.152.67.238, ,江苏省, ,移动
117.71.61.104, ,安徽省合肥市, ,电信
113.108.142.58, ,广东省广州市, ,电信
223.74.177.56, ,广东省东莞市, ,移动
61.154.117.201, ,福建省泉州市, ,电信
112.30.186.112, ,安徽省合肥市, ,移动
171.220.162.240, ,四川省成都市, ,电信
112.31.105.25, ,安徽省, ,移动
123.160.203.130, ,河南省郑州市, ,电信
202.96.202.90, ,上海市, ,电信
183.62.151.209, ,广东省深圳市, ,电信
221.197.54.182, ,天津市, ,联通
112.117.75.107, ,云南省昆明市, ,电信
110.229.125.101, ,河北省保定市, ,联通
61.180.34.61, ,江西省景德镇市, ,电信
218.89.62.24, ,四川省广安市, ,电信
122.4.236.13, ,山东省潍坊市, ,电信
122.227.135.20, ,浙江省宁波市, ,电信
125.74.210.20, ,甘肃省定西市, ,电信
223.112.183.251, ,江苏省常州市, ,移动
61.164.206.34, ,浙江省嘉兴市, ,电信
220.173.61.231, ,广西柳州市, ,金缘网吧
180.115.184.139, ,江苏省常州市, ,电信
123.152.211.106, ,浙江省宁波市, ,联通
222.243.158.213, ,湖南省湘潭市, ,电信
121.13.252.194, ,广东省东莞市, ,电信
60.174.35.212, ,安徽省池州市, ,电信
112.1.68.210, ,江苏省常州市, ,移动
218.4.41.186, ,江苏省苏州市太仓市, ,电信
220.187.225.38, ,浙江省绍兴市, ,浙江工业职业技术学院学生公寓
61.155.233.114, ,江苏省南京市, ,聚宝网吧(秦淮区钓鱼台184号2楼)
49.64.98.231, ,江苏省苏州市, ,电信
115.239.181.230, ,浙江省绍兴市, ,电信
218.104.78.39, ,安徽省合肥市, ,中国科学技术大学联通
223.244.83.105, ,安徽省滁州市, ,电信
49.85.229.113, ,江苏省苏州市, ,电信
125.66.2.90, ,四川省广安市, ,电信
218.77.18.50, ,湖南省怀化市, ,电信
218.4.192.218, ,江苏省苏州市张家港市, ,电信
171.114.36.10, ,湖北省, ,电信
112.30.186.41, ,安徽省合肥市, ,移动
14.217.132.118, ,广东省东莞市, ,电信
222.190.127.154, ,江苏省南京市秦淮区, ,欣网E家秦虹店(秦虹路457号)
222.209.93.30, ,四川省成都市, ,电信
180.106.166.69, ,江苏省苏州市, ,电信
114.99.63.20, ,安徽省安庆市, ,电信
218.77.18.37, ,湖南省怀化市, ,电信
218.95.242.226, ,青海省西宁市, ,电信
111.2.67.70, ,浙江省金华市, ,移动
1.180.156.234, ,内蒙古省巴彦淖尔市, ,电信
58.208.138.4, ,江苏省苏州市, ,电信
60.191.240.134, ,浙江省金华市金东区, ,元初网吧
36.99.88.40, ,河南省, ,电信
61.132.99.6, ,江苏省常州市, ,电信
218.2.112.74, ,江苏省南京市, ,电信
113.108.246.42, ,广东省广州市, ,电信
218.75.217.214, ,湖南省株洲市, ,起点电子竞技馆
116.253.118.55, ,广西柳州市, ,电信
49.85.222.21, ,江苏省苏州市, ,电信
106.45.212.76, ,宁夏银川市, ,电信
221.207.19.108, ,青海省西宁市, ,联通
125.72.52.7, ,青海省西宁市, ,电信
125.72.120.110, ,青海省西宁市, ,电信
112.115.69.81, ,云南省昆明市, ,电信
59.42.194.186, ,广东省广州市荔湾区, ,电信
27.187.238.72, ,河北省保定市, ,电信
60.191.156.38, ,浙江省台州市, ,电信
49.75.210.144, ,江苏省苏州市, ,电信
58.40.83.214, ,上海市南汇区, ,电信
60.218.58.170, ,黑龙江省大庆市, ,联通
120.37.122.100, ,福建省泉州市, ,电信
124.114.232.214, ,陕西省西安市, ,电信
58.40.117.246, ,上海市南汇区, ,电信
112.24.163.151, ,江苏省扬州市, ,移动
60.17.154.237, ,辽宁省鞍山市, ,联通
110.183.36.69, ,山西省忻州市, ,电信
118.181.16.210, ,甘肃省兰州市, ,电信
182.150.43.94, ,四川省成都市, ,电信
49.72.20.53, ,江苏省苏州市, ,电信
61.185.151.248, ,陕西省榆林市, ,电信
182.241.172.171, ,云南省红河州, ,电信
220.179.83.68, ,安徽省阜阳市, ,电信
182.240.104.182, ,云南省曲靖市, ,电信
182.242.11.116, ,云南省昆明市, ,电信
27.186.175.94, ,河北省保定市, ,电信
183.11.239.211, ,广东省深圳市, ,电信
125.66.28.164, ,四川省广安市, ,电信
58.223.130.154, ,江苏省连云港市, ,电信
221.198.27.131, ,天津市, ,联通
117.80.10.166, ,江苏省苏州市, ,电信
171.220.191.84, ,四川省成都市, ,电信
122.227.238.206, ,浙江省宁波市镇海区, ,虫虫网吧新年华分部
120.42.129.75, ,福建省泉州市, ,电信
122.228.183.210, ,浙江省温州市平阳县, ,鳌江镇星空网吧
119.131.65.26, ,广东省广州市, ,电信
222.90.60.80, ,陕西省西安市, ,电信
222.175.241.146, ,山东省淄博市, ,电信
59.34.140.102, ,广东省茂名市, ,电信
125.78.13.212, ,福建省泉州市, ,电信
218.78.220.130, ,上海市, ,电信
110.167.181.247, ,青海省西宁市, ,电信
61.134.101.11, ,内蒙古锡林郭勒盟锡林浩特市, ,正蓝旗天马网吧
222.214.243.26, ,四川省遂宁市, ,电信
27.128.201.237, ,河北省, ,电信
112.31.84.42, ,安徽省, ,移动
113.201.51.35, ,陕西省宝鸡市, ,联通
221.226.87.242, ,江苏省南京市秦淮区, ,电信
115.197.210.39, ,浙江省杭州市, ,电信
36.7.175.243, ,安徽省合肥市, ,电信
222.243.111.11, ,湖南省邵阳市, ,网宿科技电信CDN节点
58.57.98.70, ,山东省淄博市, ,电信
218.92.215.122, ,江苏省盐城市响水县, ,电信
221.229.115.26, ,江苏省扬州市, ,电信
218.104.78.45, ,安徽省合肥市, ,中国科学技术大学联通
14.219.223.0, ,广东省东莞市, ,电信
58.210.204.187, ,江苏省苏州市, ,电信
112.26.86.173, ,安徽省淮北市, ,移动
49.77.209.162, ,江苏省南京市, ,电信
183.129.197.90, ,浙江省杭州市, ,电信
1.31.12.82, ,内蒙古赤峰市, ,联通
218.2.31.118, ,江苏省淮安市, ,电信
180.106.154.16, ,江苏省苏州市, ,电信
36.33.12.89, ,安徽省合肥市, ,联通
111.175.132.88, ,湖北省武汉市, ,电信
60.191.163.242, ,浙江省台州市, ,电信
61.145.59.162, ,广东省揭阳市普宁市, ,流沙镇创能网吧(西南平里18幢)
221.224.76.162, ,江苏省苏州市, ,三元网吧
125.45.145.59, ,河南省信阳市, ,联通
180.156.235.41, ,上海市, ,电信
123.139.55.73, ,陕西省西安市, ,联通
218.91.115.30, ,江苏省扬州市江都区, ,电信
223.214.125.250, ,安徽省宿州市, ,电信
49.73.99.243, ,江苏省苏州市, ,电信
125.127.234.156, ,浙江省台州市, ,电信
221.178.55.107, ,重庆市, ,移动
61.129.122.78, ,上海市浦东新区, ,/徐汇区电信
125.71.212.18, ,四川省成都市, ,戴尔世纪网络会所(五城店)
221.225.91.12, ,江苏省苏州市吴江市, ,CZ88.NET
171.215.72.143, ,四川省雅安市, ,电信
219.139.173.228, ,湖北省咸宁市, ,电信
124.112.115.76, ,安徽省阜阳市, ,电信
114.239.252.125, ,江苏省宿迁市泗阳县, ,电信
223.220.174.2, ,青海省西宁市, ,电信
121.224.20.85, ,江苏省苏州市, ,电信
171.90.88.35, ,四川省凉山州, ,电信
171.14.92.166, ,河南省信阳市, ,电信
183.6.147.106, ,广东省广州市, ,电信
202.107.247.101, ,浙江省衢州市, ,网宿科技电信CDN节点
123.160.230.9, ,河南省郑州市, ,电信
125.72.120.0, ,青海省西宁市, ,电信
171.90.84.209, ,四川省凉山州, ,电信
36.106.51.224, ,天津市, ,电信
58.242.106.212, ,安徽省阜阳市, ,联通
1.28.194.154, ,内蒙古包头市, ,联通
223.8.71.185, ,山西省长治市, ,电信
114.219.105.163, ,江苏省苏州市, ,电信
36.5.135.162, ,安徽省合肥市蜀山区, ,电信
60.165.100.22, ,甘肃省庆阳市, ,电信
219.138.225.41, ,湖北省鄂州市鄂城区, ,电信
125.81.159.115, ,重庆市渝中区, ,电信
218.90.190.114, ,江苏省无锡市, ,电信
114.217.136.51, ,江苏省苏州市, ,电信
121.57.185.11, ,内蒙古通辽市, ,电信
180.104.118.234, ,江苏省徐州市, ,电信
110.180.56.87, ,山西省阳泉市, ,电信
171.88.145.110, ,四川省成都市, ,电信
182.246.164.253, ,云南省玉溪市, ,电信
116.236.111.230, ,上海市长宁区, ,/普陀区电信
222.172.159.123, ,云南省昆明市, ,电信
171.123.200.198, ,山西省长治市, ,联通
153.35.214.152, ,江苏省, ,联通
61.160.88.206, ,江苏省无锡市, ,电信
182.131.81.177, ,四川省广安市, ,电信
180.168.212.30, ,上海市, ,电信
60.166.32.66, ,安徽省合肥市, ,电信
110.188.221.5, ,四川省绵阳市, ,电信
218.1.111.198, ,上海市静安区, ,电信
182.245.104.53, ,云南省昆明市, ,电信
110.184.68.18, ,四川省成都市, ,电信
36.26.44.46, ,浙江省, ,电信
112.66.42.66, ,海南省海口市, ,电信
119.54.56.30, ,吉林省四平市, ,联通
122.158.253.66, ,黑龙江省双鸭山市, ,联通
106.44.162.130, ,陕西省渭南市, ,电信
111.18.99.181, ,陕西省安康市, ,移动
218.90.137.90, ,江苏省无锡市, ,广石路天一网吧
103.250.58.60, ,新加坡, ,CZ88.NET
222.72.105.230, ,上海市, ,同济大学(嘉定校区)
218.84.206.113, ,新疆巴音郭楞州库尔勒市, ,电信
